TRKJ2-1-05OND-01,君は正しいことをしなかったと思う,I don't think you did the right thing.
TRKJ2-1-05OND-02,「ジェーンはまだ到着してませんよね」「はい、まだです」,"""Jane hasn't arrived yet, has she?"" ""No, She hasn't"""
TRKJ2-1-05OND-03,「サマンサと買い物にいくのよ」「そうなの」,"""I'm going shopping with Samanthe"" ""Are you?"""
TRKJ2-1-05OND-04,私は（毎日）7時に家を出て学校に向かいます。,I leave home for school at seven.
TRKJ2-1-05OND-05,私がお風呂に入っているときに電話が鳴りました。,I was taking a bath when the phone rang.
TRKJ2-1-05OND-06,大変な試合になりそうだ,This is going to be a tough game.
TRKJ2-1-05OND-07,助けが必要だって？よし、すぐそっちに行くよ,"You need help? OK, I'll be right there."
TRKJ2-1-05OND-08,あなた方はいつから知り合いなのですか,How long have you known each other?
TRKJ2-1-05OND-09,3日前から雨が降っています。,It has been raining for three days.
TRKJ2-1-05OND-10,ロンドンに行ったことがありますよ,Have you ever been to London?
TRKJ2-1-05OND-11,あなたはまだ私の質問に答えていません。,You still haven't answered my question.
TRKJ2-1-05OND-12,私たちが着いた時には、店はもう閉まっていた。,"When  we arrived, the store had already closed."
TRKJ2-1-05OND-13,彼は一日中働いていたので疲れたいた。,He was tired because he had been working all day.
TRKJ2-1-05OND-14,彼は前の日に買った本を読んだ,He read the book he had bought the day before
