TRKJ2-1-9-001,電球,light bulb,n,n,,
TRKJ2-1-9-002,発明する,invent,n,n,I invented a new machine,新しい機械を発明した
TRKJ2-1-9-003,修理する、修復する,fix,n,n,He fixed a computer,彼はコンピュータを発明した
TRKJ2-1-9-004,戻る,return,n,n,,
TRKJ2-1-9-005,図書館,library,n,n,,
TRKJ2-1-9-006,受け入れる,accept,n,n,I accepted my father's request,父の要求を受け入れた
TRKJ2-1-9-007,質,quality,n,n,high　quality,高品質
TRKJ2-1-9-008,何度も,over and over again,n,n,,
TRKJ2-1-9-009,生まれる,be born,n,n,I was born in Kanagawa,神奈川で生まれた
TRKJ2-1-9-010,育てる,raise,n,n,I was born in Fujisawa and raised in Yokohama,藤沢で生まれ横浜で育った
TRKJ2-1-9-011,怪我させる,injure,n,n,I was injured in a traffic accident,交通事故で怪我をした
TRKJ2-1-9-012,交通事故,traffic accident,n,n,I was injured in a traffic accident,桜通事故で怪我をした
TRKJ2-1-9-013,地面,ground,n,n,,
TRKJ2-1-9-014,…で覆われている,be covered with,n,n,The ground was  covered with snow,地面が雪で覆われていた
TRKJ2-1-9-015,…でいっぱいである,be filled with,n,n,Her eyes were filled with tears,彼女の目は涙でいっぱいでした
TRKJ2-1-9-016,…で作られている,be made of,n,n,The chair is made of wood,この椅子は木でできている
TRKJ2-1-9-017,…と結婚している,be married to,n,n,I'm married to a French woman,私はフランス人の女性と結婚している
TRKJ2-1-9-018,生まれつきの,native,n,n,She is a native New Yorker,彼女は生粋のニューヨーク子だ
TRKJ2-1-9-019,木製の,wooden,n,n,a wooden chair,木製の椅子
TRKJ2-1-9-020,スタジアム,stadium,n,n,,
TRKJ2-1-9-021,キャンセルする,cancel,n,n,,
TRKJ2-1-9-022,粘土,clay,n,n,The pot was made of clay,この鍋は粘土でできている
TRKJ2-1-9-023,なべ、ポット,pot,n,n,a clay pot,素焼きの容器
TRKJ2-1-9-024,ロバ,donkey,n,n,,
TRKJ2-1-9-025,叩く,hit,n,n,He suddenly hit me on the head,彼は突然私の頭をなぐった
TRKJ2-1-9-026,棒,stick,n,n,He hit the table with a stick,彼は棒で机を叩いた
TRKJ2-1-9-027,出てくる、世に出る,come out,n,n,When did his new book come out ?,彼の新作はいつでたの
TRKJ2-1-9-028,野生の,wild,n,n,,
TRKJ2-1-9-029,初めは,at first,n,n,,
TRKJ2-1-9-030,警備員,guard,n,n,,
TRKJ2-1-9-031,誤って、うっかり,accidentally,n,n,I accidentally dropped  a mobile phone.,私は誤って携帯電話を落とした
TRKJ2-1-9-032,がっかりさせる,disappointed,n,n,I am disappointed to hear that,私はそれを聞いてがっかりした
TRKJ2-1-9-033,発表,presentation,n,n,I made a presentation on the Corona Virus,私はコロナウイルスについての発表を行った
TRKJ2-1-9-034,海賊,pirate,n,n,a pirate ship,海賊船
TRKJ2-1-9-035,モデル、型,model,n,n,a model of a ship,船の模型
TRKJ2-1-9-036,裏庭,backyard,n,n,,
