TRKJ2-1-07OND-01,君がそう言うだろうとわかっていました,I knew that youwould say that.
TRKJ2-1-07OND-02,彼女は会議に出席しないかもしれないと私に言いました,She told me that she might not atennd the meeting
TRKJ2-1-07OND-04,あとで喉が渇かないように水を飲みなさい,Drink some water so that you won't get thirsty later.
TRKJ2-1-07OND-05,あなたの言うことがわかるように、もっと分かりやすく話してください,Please speak more clearly so that I can understand you.
TRKJ2-1-07OND-08,私たちは遅刻しないように急いだ,We hurried so that we wouldn't be late
TRKJ2-1-07OND-10,それについて今話したいのですが,Would you like to talk about it now？
TRKJ2-1-07OND-11,「車を動かしていただけますか」「いいですよ」,"""Would you mind moving your car?"" ""Off course not"""
TRKJ2-1-07OND-13,私たちは毎年夏ビーチに行ったものです,We would go to the beach every summer.
TRKJ2-1-07OND-15,早めに準備した方が良い,You should prepare for your test early
TRKJ2-1-07OND-17,息子さんのことをそんなに心配しない方がいいと思いますよ,I don't think you should be worried about your son so much
TRKJ2-1-07OND-18,痩せるためになにをした方がいいですか,What should do to lose weight?
TRKJ2-1-07OND-19,彼女は私たちに参加すべきだと思いました。,I thougt she should join us.
