TRKJ2-1-10OND-01,もしそれを言ったら皆から笑われますよ,"If you say that, you will be laugh at by everyone."
TRKJ2-1-10OND-02,その問題は注意深く見る必要がある,The problem need to be looked at carefully
TRKJ2-1-10OND-03,私は電車で隣りに座っている外国人に話しかけられた。,I was spoken to by a foreigner sitting next to me
TRKJ2-1-10OND-04,彼は一等賞を与えられた,He was given the first prize.
TRKJ2-1-10OND-05,一等賞は彼に与えられた,The first prize was given to him
TRKJ2-1-10OND-06,私たちは彼に何もいわれなかった,We were told nothing by him
TRKJ2-1-10OND-07,彼によって何も私たちに言われなかった,Nothing was told to us by him
TRKJ2-1-10OND-08,特別な夕食が私たちのために作られた,A special dinner was made for us
TRKJ2-1-10OND-09,私の本名はハジメですが、ジミーと呼ばれています,His real name is Hajime but he is called Jimmy
TRKJ2-1-10OND-10,「この鳥はなんと呼ばれていますか」「カラスと呼ばれています」,What is this bird called? It's called a crow
TRKJ2-1-10OND-11,彼らの長男は、曽祖父にちなんでチャールズと名付けられた,Their first son is named Charles after his great-grandfather
TRKJ2-1-10OND-12,その発明は彼の多大な努力によって可能になった,The invention was made possible by his great effort
